family,space,layer,condition,kind,pos_bucket,mean,lo,hi,n_prompts
base,suca,8,shifted,raw_system,70,2.3680482627241872e-05,2.3680482627241872e-05,2.3680482627241872e-05,1
base,suca,8,shifted,raw_system,80,0.0020571951754391193,0.0020571951754391193,0.0020571951754391193,1
base,suca,8,shifted,raw_system,90,0.001965200062841177,0.001965200062841177,0.001965200062841177,1
base,suca,8,shifted,raw_user,-100,0.9046545028686523,0.8265231847763062,0.9827858209609985,2
base,suca,8,shifted,raw_user,-90,0.940478652715683,0.9020580053329468,0.9788993000984192,2
base,suca,8,shifted,raw_user,-80,0.9898138046264648,0.9823845028877258,0.9972431063652039,2
base,suca,8,shifted,raw_user,-70,0.993668407201767,0.9925438761711121,0.9947929382324219,2
base,suca,8,shifted,raw_user,-60,0.980829119682312,0.9677127599716187,0.9939454793930054,2
base,suca,8,shifted,raw_user,-50,0.9824897050857544,0.9690748453140259,0.9959045648574829,2
base,suca,8,shifted,raw_user,-40,0.9337604641914368,0.883393406867981,0.9841275215148926,2
base,suca,8,shifted,raw_user,-30,0.961039125919342,0.9434559941291809,0.9786222577095032,2
base,suca,8,shifted,raw_user,-20,0.913667231798172,0.8459154963493347,0.9814189672470093,2
base,suca,8,shifted,raw_user,-10,0.6495637446641922,0.30670109391212463,0.9924263954162598,2
base,suca,8,shifted,raw_user,0,0.5644834339618683,0.48154234886169434,0.6474245190620422,2
base,suca,8,shifted,raw_user,10,0.18205015361309052,0.1457543820142746,0.21834592521190643,2
base,suca,8,shifted,raw_user,20,0.028491054195910692,0.00783687923103571,0.049145229160785675,2
base,suca,8,shifted,raw_user,30,0.013991615269333124,0.0071180155500769615,0.020865214988589287,2
base,suca,8,shifted,raw_user,40,0.00795847293920815,0.0030994019471108913,0.012817543931305408,2
base,suca,8,shifted,raw_user,50,0.010782229888718575,0.0012124240165576339,0.020352035760879517,2
base,suca,8,shifted,raw_user,60,0.013580096536315978,0.003118745284155011,0.024041447788476944,2
base,suca,8,shifted,raw_user,70,0.007497494108974934,0.007497494108974934,0.007497494108974934,1
base,suca,8,shifted,raw_user,80,0.027429187670350075,0.027429187670350075,0.027429187670350075,1
base,suca,8,shifted,raw_user,90,0.03784649446606636,0.03784649446606636,0.03784649446606636,1
base,suca,8,shifted,raw_assistant,-100,0.008818772610652559,1.7191998722410062e-06,0.017635826021432877,2
base,suca,8,shifted,raw_assistant,-90,0.01406805684155188,5.92137348576216e-06,0.028130192309617996,2
base,suca,8,shifted,raw_assistant,-80,0.0011450558085925877,9.909376967698336e-05,0.002191017847508192,2
base,suca,8,shifted,raw_assistant,-70,0.00034991120628546923,0.00031450207461602986,0.0003853203379549086,2
base,suca,8,shifted,raw_assistant,-60,0.001702014182228595,0.0008150710491463542,0.002588957315310836,2
base,suca,8,shifted,raw_assistant,-50,0.0014974948426242918,0.0006486048805527389,0.0023463848046958447,2
base,suca,8,shifted,raw_assistant,-40,0.0025550626014592126,0.00033522132434882224,0.004774903878569603,2
base,suca,8,shifted,raw_assistant,-30,0.0034784184535965323,0.0034754928201436996,0.003481344087049365,2
base,suca,8,shifted,raw_assistant,-20,0.00977255345787853,0.002692726207897067,0.016852380707859993,2
base,suca,8,shifted,raw_assistant,-10,0.11175678383006016,0.00015264174726326019,0.22336092591285706,2
base,suca,8,shifted,raw_assistant,0,0.011705191107466817,0.002367755863815546,0.021042626351118088,2
base,suca,8,shifted,raw_assistant,10,0.0035286552738398314,0.0025088475085794926,0.00454846303910017,2
base,suca,8,shifted,raw_assistant,20,0.21487053856253624,0.11984451860189438,0.3098965585231781,2
base,suca,8,shifted,raw_assistant,30,0.30918408185243607,0.19266687333583832,0.4257012903690338,2
base,suca,8,shifted,raw_assistant,40,0.46831995248794556,0.4064369797706604,0.5302029252052307,2
base,suca,8,shifted,raw_assistant,50,0.5079667419195175,0.48849835991859436,0.5274351239204407,2
base,suca,8,shifted,raw_assistant,60,0.3061184547841549,0.09022723883390427,0.5220096707344055,2
base,suca,8,shifted,raw_assistant,70,0.23621682822704315,0.23621682822704315,0.23621682822704315,1
base,suca,8,shifted,raw_assistant,80,0.6545747518539429,0.6545747518539429,0.6545747518539429,1
base,suca,8,shifted,raw_assistant,90,0.7102774381637573,0.7102774381637573,0.7102774381637573,1
base,suca,8,shifted,minus_null,-100,,,,0
base,suca,8,shifted,minus_null,-90,,,,0
base,suca,8,shifted,minus_null,-80,,,,0
base,suca,8,shifted,minus_null,-70,,,,0
base,suca,8,shifted,minus_null,-60,,,,0
base,suca,8,shifted,minus_null,-50,,,,0
base,suca,8,shifted,minus_null,-40,,,,0
base,suca,8,shifted,minus_null,-30,,,,0
base,suca,8,shifted,minus_null,-20,,,,0
base,suca,8,shifted,minus_null,-10,,,,0
base,suca,8,shifted,minus_null,0,0.3984486311674118,0.2857470214366913,0.5111502408981323,2
base,suca,8,shifted,minus_null,10,0.8076431453227997,0.7754274010658264,0.839858889579773,2
base,suca,8,shifted,minus_null,20,0.7346260249614716,0.6393484473228455,0.8299036026000977,2
base,suca,8,shifted,minus_null,30,0.6470265686511993,0.5524014234542847,0.741651713848114,2
base,suca,8,shifted,minus_null,40,0.519637942314148,0.45681118965148926,0.5824646949768066,2
base,suca,8,shifted,minus_null,50,0.4679640531539917,0.44534406065940857,0.49058404564857483,2
base,suca,8,shifted,minus_null,60,0.6761790961027145,0.4535740315914154,0.8987841606140137,2
base,suca,8,shifted,minus_null,70,0.7561575770378113,0.7561575770378113,0.7561575770378113,1
base,suca,8,shifted,minus_null,80,0.315736323595047,0.315736323595047,0.315736323595047,1
base,suca,8,shifted,minus_null,90,0.2493552714586258,0.2493552714586258,0.2493552714586258,1
base,suca,8,genuine,raw,0,0.8006097972393036,0.7092311978340149,0.8919883966445923,2
