layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,content,raw,91,0.9249906,0.884429,0.97020954,3,neutral
8,none,content,raw,92,0.9329451,0.8915153,0.9929746,3,neutral
8,none,content,raw,93,0.819283,0.7754423,0.89659494,3,neutral
8,none,content,raw,94,0.8843806,0.8441534,0.92061424,3,neutral
8,none,content,raw,95,0.87734944,0.8069826,0.96300006,3,neutral
8,none,content,raw,96,0.8177807,0.79528886,0.85957783,3,neutral
8,none,content,raw,97,0.8121298,0.7757775,0.86416394,3,neutral
8,none,content,raw,98,0.88239765,0.80515814,0.9638839,3,neutral
8,none,content,raw,99,0.93353516,0.8909882,0.9774556,3,neutral
8,none,content,raw,100,0.88153744,0.8143061,0.9550937,3,neutral
8,none,content,raw,101,0.908492,0.8567474,0.967309,3,neutral
8,none,content,raw,102,0.8931357,0.8159199,0.9900698,3,neutral
8,none,content,raw,103,0.92619205,0.9243415,0.92804253,2,neutral
8,none,content,raw,104,0.93180996,0.8953703,0.9682496,2,neutral
8,none,content,raw,105,0.83560574,0.70315564,0.9680559,2,neutral
8,none,content,raw,106,0.8409282,0.7109071,0.97094923,2,neutral
8,none,content,raw,107,0.5482838,0.5077118,0.5888558,2,neutral
8,none,content,raw,108,0.79264176,0.7207872,0.86449623,2,neutral
8,none,content,raw,109,0.7547885,0.68894273,0.82063437,2,neutral
8,none,content,raw,110,0.83223784,0.7055867,0.95888895,2,neutral
8,none,content,raw,111,0.8706959,0.78182626,0.9595655,2,neutral
8,none,content,raw,112,0.8750198,0.76168495,0.9883547,2,neutral
8,none,content,raw,113,0.6731411,0.4192911,0.92699116,2,neutral
8,none,content,raw,114,0.7541682,0.53607845,0.972258,2,neutral
8,none,content,raw,115,0.9516922,0.93930584,0.9640786,2,neutral
8,none,content,raw,116,0.9151123,0.85150445,0.9787202,2,neutral
8,none,content,raw,117,0.7915918,0.59064454,0.9925391,2,neutral
8,none,content,raw,118,0.85183525,0.71991575,0.9837547,2,neutral
8,none,content,raw,119,0.885785,0.7908632,0.9807069,2,neutral
8,none,content,raw,120,0.8990075,0.8122664,0.9857486,2,neutral
8,none,content,raw,121,0.88864005,0.78090006,0.99638003,2,neutral
8,none,content,raw,122,0.87967443,0.76839244,0.9909565,2,neutral
8,none,content,raw,123,0.85362774,0.77162117,0.9356343,2,neutral
8,none,content,raw,124,0.80278444,0.74584025,0.8597286,2,neutral
8,none,content,raw,125,0.8843618,0.8655058,0.9032178,2,neutral
8,none,content,raw,126,0.8492803,0.7629078,0.9356528,2,neutral
8,none,content,raw,127,0.74254656,0.73798674,0.7471063,2,neutral
8,none,content,raw,128,0.560992,0.54420894,0.5777751,2,neutral
8,none,content,raw,129,0.55711925,0.40758282,0.70665574,2,neutral
8,none,content,raw,130,0.63529885,0.5648364,0.7057614,2,neutral
8,none,content,raw,131,0.7582153,0.7383395,0.77809113,2,neutral
8,none,content,raw,132,0.8447207,0.80823284,0.8812086,2,neutral
8,none,content,raw,133,0.9385356,0.9110752,0.96599597,2,neutral
8,none,content,raw,134,0.88715017,0.8011626,0.97313774,2,neutral
8,none,content,raw,135,0.91052103,0.8903222,0.93071985,2,neutral
8,none,content,raw,136,0.87030905,0.80350745,0.93711066,2,neutral
8,none,content,raw,137,0.9422028,0.90857285,0.9758327,2,neutral
8,none,content,raw,138,0.86750925,0.8155064,0.91951215,2,neutral
8,none,content,raw,139,0.82953,0.7992628,0.8597972,2,neutral
8,none,content,raw,140,0.88959897,0.79121906,0.9879788,2,neutral
8,none,content,raw,141,0.8408421,0.7788254,0.9028589,2,neutral
8,none,content,raw,142,0.9179517,0.8865766,0.94932675,2,neutral
8,none,content,raw,143,0.8656948,0.7747845,0.95660514,2,neutral
8,none,content,raw,144,0.88921404,0.868726,0.909702,2,neutral
