layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,content,raw,116,0.6782489,0.63651294,0.717542,181,neutral
8,none,content,raw,117,0.7253011,0.679762,0.76247233,181,neutral
8,none,content,raw,118,0.73333335,0.6958104,0.7621863,181,neutral
8,none,content,raw,119,0.7365799,0.7010186,0.7721133,180,neutral
8,none,content,raw,120,0.73911464,0.69938546,0.77939194,180,neutral
8,none,content,raw,121,0.7121824,0.67517406,0.7536063,178,neutral
8,none,content,raw,122,0.7275154,0.68396336,0.7642291,178,neutral
8,none,content,raw,123,0.7021746,0.66188776,0.74078625,178,neutral
8,none,content,raw,124,0.735281,0.7012597,0.77250266,178,neutral
8,none,content,raw,125,0.7198522,0.6842694,0.76131004,176,neutral
8,none,content,raw,126,0.7432447,0.709075,0.78179485,175,neutral
8,none,content,raw,127,0.75836855,0.7238143,0.7916757,175,neutral
8,none,content,raw,128,0.7376859,0.70525604,0.7755414,175,neutral
8,none,content,raw,129,0.7400137,0.70590496,0.78051513,175,neutral
8,none,content,raw,130,0.70734644,0.6704965,0.74650764,175,neutral
8,none,content,raw,131,0.74029714,0.7106174,0.7802785,174,neutral
8,none,content,raw,132,0.764734,0.7265105,0.80145943,174,neutral
8,none,content,raw,133,0.7353054,0.6955252,0.7761992,173,neutral
8,none,content,raw,134,0.75246894,0.7097376,0.78820133,173,neutral
8,none,content,raw,135,0.7647596,0.7236262,0.808301,173,neutral
8,none,content,raw,136,0.7225207,0.67926973,0.7586461,173,neutral
8,none,content,raw,137,0.7346751,0.6972763,0.77277076,173,neutral
8,none,content,raw,138,0.74262553,0.7038341,0.7833647,173,neutral
8,none,content,raw,139,0.74619144,0.7053829,0.78569525,172,neutral
8,none,content,raw,140,0.7375022,0.6983458,0.7760078,171,neutral
8,none,content,raw,141,0.7353229,0.6966473,0.7779137,171,neutral
8,none,content,raw,142,0.74243724,0.7034785,0.78173053,171,neutral
8,none,content,raw,143,0.71818876,0.67308795,0.76016784,171,neutral
8,none,content,raw,144,0.747544,0.7075577,0.78865844,171,neutral
